Id,Source language,Source text - Questions,Bosnian translation - Questions,Source Text - Answers,Bosnian translation - Answers,Category,Intent
1,English,"How do you say in Bosnian ""you are welcome""?","Kako se ""you are welcome"" kaže na bosanskom?","On bosnian ""you are welcome"" is said: ""nema na čemu"" / ""molim""","Na bosanskom se kaže: ""nema na čemu""/""molim""",Miscellaneous,ask_language
2,English,What are the common languages spoken in Herzegovina?,Koji jezici se najčešće govore u Hercegovini?,"Bosnian, Croatian, and Serbian are the most common languages.","Najčešće se govore bosanski, hrvatski i srpski jezici.",Miscellaneous,ask_language
3,English,Can you teach me a few basic phrases in Bosnian?,Možete li me naučiti nekoliko osnovnih fraza na bosanskom?,"Hello: Zdravo, Thank you: Hvala, Yes: Da, No: Ne, Goodbye: Doviđenja","Neki osnovni izrazi su: ""Dobar dan"" (Pozdrav), ""Hvala"" (Hvala).",Miscellaneous,ask_language
4,English,What's the weather like usually here in Bosnia?,Kakvo je obično vrijeme u Bosni?,"Bosnia has a continental climate with hot summers and cold winters. Herzegovina has a Mediterranean influence, making it milder.","Obično je vrijeme u Bosni umjereno, sa sezonskim promjenama.",Miscellaneous,ask_weather
5,English,Is it going to rain these days?,Hoće li padati kiša u narednim danima?,Check a weather app like AccuWeather for updated forecasts.,Pogledajte na aplikaciji kao što je AccuWeather.,Miscellaneous,ask_weather
6,English,What will the weather be like tomorrow?,Kakvo će biti vrijeme sutra?,Tomorrow’s forecast depends on your location. Sarajevo’s weather can vary greatly.,Sutrašnja prognoza zavisi od vaše tačne lokacije. Temperatura u Sarajevu moze znatno da varira.,Miscellaneous,ask_weather
7,English,What's the best season to visit Bosnia and Herzegovina?,Koje je najbolje doba godine za posjetiti Bosnu i Hercegovinu?,Spring (April-June) and Autumn (September-October) are ideal for mild weather and fewer crowds.,Najbolje doba godine za posjetiti Bosnu i Hercegovinu su proljeće i jesen zbog umjerenih temperatura.,Miscellaneous,ask_weather
8,English,How cold does it get in winter here?,Koliko je hladno u Bosni zimi?,"In Bosnia, temperatures can drop to -10°C (14°F) or lower, especially in mountainous areas.",Zimi temperatura može pasti na -10°C ili niže.,Miscellaneous,ask_weather
9,English,How hot does it get in summer here?,Koliko je vruće ljeti u Bosni?,Summer temperatures in Herzegovina can exceed 35°C (95°F).,Ljeti temperatura može dostići i 35°C.,Miscellaneous,ask_weather
10,English,Can I expect snow in December?,Mogu li očekivati snijeg u decembru?,"Yes, especially in higher altitudes and northern regions.","Da, u decembru se može očekivati snijeg, posebno u planinskim područjima.",Miscellaneous,ask_weather
11,English,What is the currency used in Bosnia and Herzegovina?,Koja valuta se koristi u Bosni i Hercegovini?,The Bosnian Convertible Mark (BAM).,U Bosni i Hercegovini se koristi konvertibilna marka (BAM).,Miscellaneous,ask_currency
12,English,Can I use euros in Sarajevo?,Mogu li u Sarajevu plaćati u eurima?,"Euros are accepted in some tourist areas, but BAM is preferred.","Na nekim turističkim područjima može se plaćati u eurima, ali je bolje koristiti domaću valutu.",Miscellaneous,ask_currency
13,English,Where can I exchange money?,Gdje mogu promijeniti novac?,"At banks, exchange offices, or major hotels.",Novac možete promijeniti u bankama ili menjačnicama u većim gradovima.,Miscellaneous,ask_currency
14,English,Are credit cards widely accepted?,Da li se kreditne kartice široko prihvataju?,"Yes, in urban areas, but smaller businesses may prefer cash.","Da, kreditne kartice se uglavnom prihvataju, ali je dobro imati nešto gotovine.",Miscellaneous,ask_currency
15,English,Is tipping common in restaurants here?,Da li je u restoranima uobičajeno davati napojnicu?,"Yes, tipping 5–10% of the bill is customary.","Da, u restoranima je obično uobičajeno davati napojnicu od 10-15%.",Miscellaneous,ask_customs
16,English,How do locals greet each other formally?,Kako se formalno pozdravljaju ljudi u Bosni i Hercegovini?,"With a handshake and a polite ""Dobar dan"" (Good day).","Formalni pozdrav je ""Dobar dan"" uz rukovanje.",Miscellaneous,ask_customs
17,English,Is it safe to travel alone in Bosnia and Herzegovina?,Da li je sigurno putovati solo kroz Bosnu i Hercegovinu?,"Yes, Bosnia is generally safe for solo travelers.","Da, Bosna i Hercegovina je generalno sigurna destinacija za putovanja.",Miscellaneous,ask_safety
18,English,Are there any areas I should avoid at night?,Da li postoje područja koja bih trebao izbjegavati noću?,"Avoid poorly lit or isolated areas in cities, as in any country.",Noću je preporučljivo izbjegavati osamljena i tamna područja.,Miscellaneous,ask_safety
19,English,What should I do in case of an emergency?,Šta da radim u slučaju hitne situacije?,"Avoid poorly lit or isolated areas in cities, as in any country.",U hitnim situacijama pozovite broj 112.,Miscellaneous,ask_safety
20,English,"Can I drink tap water here, or should I buy bottled water?",Da li je voda iz česme sigurna za piti ili bih trebao kupiti flaširanu vodu?,Tap water is safe in most urban areas but bottled water is recommended in rural areas.,"U većini područja voda iz česme je sigurna za piti, ali možete kupiti i flaširanu vodu.",Miscellaneous,ask_safety
21,English,Is public transportation safe for tourists?,Da li je javni prevoz siguran za turiste?,"Yes, but keep an eye on your belongings in crowded places.","Da, javni prevoz je siguran za turiste.",Miscellaneous,ask_safety
22,English,Where can I buy a local SIM card for data?,Gdje mogu kupiti lokalnu SIM karticu za internet?,"At kiosks, telecom stores (BH Telecom, Eronet), or airports.",SIM karticu možete kupiti kod telekom operatera poput BH Telecoma.,Miscellaneous,ask_internet
23,English,Is there free Wi-Fi available nearby?,Da li ima besplatnog Wi-Fi-ja ovdje u blizini?,"Free Wi-Fi is common in cafes, hotels, and public spaces.","Da, mnogi restorani i kafići nude besplatan Wi-Fi.",Miscellaneous,ask_internet
24,English,Do I need a power adapter for my phone charger?,Trebam li adapter za punjač telefona?,"Bosnia uses 220V, Type C/F plugs. An adapter may be needed.","U Bosni su utičnice tipa F (230V), provjerite kompatibilnost uređaja.",Miscellaneous,ask_power
25,English,Can I charge my laptop in the train?,Mogu li napuniti laptop u vozu?,Older trains may not have outlets; newer ones might.,"Stariji vozovi i tramvaji nemaju utičnice, dok noviji moguće da imaju.",Miscellaneous,ask_power
26,English,What’s the historical significance of the Old Bridge in Mostar?,Koja je istorijska važnost Starog mosta u Mostaru?,"Built in 1566 by the Ottomans, it symbolizes cultural unity and was rebuilt after being destroyed in 1993.",Stari most je simbol mira i međukulturnih veza.,Miscellaneous,ask_history
27,English,Can you tell me about the history of Sarajevo during the war?,Možete li mi reći nešto o istoriji Sarajeva tokom rata?,"Sarajevo was under siege (1992–1996) during the Bosnian War, the longest siege in modern warfare.",Sarajevo je tokom rata bilo pod dugom opsadom i ima bogatu istoriju.,Miscellaneous,ask_history
28,English,When was the Ottoman Empire in control of Bosnia?,Kada je Osmansko carstvo vladalo Bosnom?,From 1463 to 1878.,Bosna je bila pod osmanskom vladavinom od 15. do 19. veka.,Miscellaneous,ask_history
29,English,Are there any Roman ruins to visit here?,Da li postoje rimske ruševine koje mogu posjetiti?,"Yes, Mogorjelo near Čapljina and remains in Stolac.","Da, možete posjetiti rimske ruševine poput Mogorjela u blizini Čapljine.",Miscellaneous,ask_history
30,English,Are there pharmacies open 24/7 in Sarajevo?,Da li postoje apoteke koje rade 24/7 u Sarajevu?,"Yes, some central pharmacies like ""Apoteka Gradska"" work 24/7.","Da, postoje apoteke poput ""Apoteka Sarajevo"" koje rade 24/7.",Miscellaneous,ask_health
31,English,What’s the emergency number for medical services here?,Koji je broj hitne pomoći za medicinske usluge ovdje?,124 for medical emergencies.,Za hitne medicinske usluge pozovite broj 124.,Miscellaneous,ask_health
32,English,Is health insurance required for tourists?,Da li turisti moraju imati zdravstveno osiguranje?,It is recommended to have travel health insurance.,Preporučuje se da turisti imaju zdravstveno osiguranje.,Miscellaneous,ask_health
33,English,Where can I find a taxi stand?,Gdje mogu pronaći stajalište za taksi?,Near major landmarks and transport hubs.,Stajališta za taksi možete naći u blizini glavnih stanica ili turističkih lokacija.,Transportation,ask_taxi
34,English,How much does a taxi ride to the city center cost?,Koliko košta vožnja taksijem do centra grada?,Around 20–30 BAM from Sarajevo Airport.,Cijena taksi vožnje do centra grada je oko 10-20 BAM.,Transportation,ask_taxi
35,English,Can I pay for a taxi with a credit card?,Mogu li platiti taksi karticom?,"No, unfortunately not, cash only.","Da, neki taksiji prihvataju kreditne kartice.",Transportation,ask_taxi
36,English,Are taxis safe to use here?,Da li su taksiji sigurni za korištenje ovdje?,"Yes, especially licensed ones.","Taksiji su sigurni, ali uvijek koristite licencirane taksi službe.",Transportation,ask_taxi
37,English,What’s the phone number to call a taxi service?,Koji je broj za pozivanje taksi službe?,The most popular one is Sarajevo Taxi (+387 33 15 15),"Za pozivanje taksija, nazovite 033 222 333.",Transportation,ask_taxi
38,English,What time is the next bus to ..?,Kada je sledeći autobus do ...?,Check schedules at the bus station or online at GetByBus/CentroCard(for inner-city transport).,Sledeći autobus do ... polazi u 15:30.,Transportation,ask_bus
39,English,Where can I buy bus tickets for intercity travel?,Gdje mogu kupiti autobuske karte za međugradski prevoz?,At stations or online (e.g. FlixBus),Autobuske karte možete kupiti u autobuskim stanicama ili online.,Transportation,ask_bus
40,English,Is there a direct line to..?,Da li postoji direktna linija do ...?,Major cities often have direct routes; confirm locally.,"Da, postoji direktna linija do Tuzle.",Transportation,ask_bus
41,English,How frequently does the bus stop here?,Koliko često autobus staje ovdje?,"In cities, every 15–20 minutes, but may vary on your current location, and the one you are heading to.",Autobusi ovde staju svakih 10 minuta.,Transportation,ask_bus
